gene_symbol,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
DPM1,-0.094646114,0.777983073,0.398109436,0.342246805,-0.2532742,0.317181998,0.553794205,0.071146569,background
SCYL3,0.041058803,0.899823695,0.21478033,0.50767947,-0.006546834,0.985039975,0.189932408,0.536943014,background
C1orf112,1.264427278,0.018295321,1.189242742,0.112650958,0.790571926,0.065089272,-0.599460045,0.321554715,abundance
CFH,-1.722514069,0.012628859,-0.754661738,0.205423223,-1.088302286,0.011715295,1.03109347,0.009395934,translation
FUCA2,0.780653592,0.046977517,0.95717528,0.013537751,0.023752046,0.954135042,0.265208163,0.329798204,abundance
GCLC,-0.144350589,0.802063319,0.261203249,0.599451845,-0.384861798,0.158892965,0.402905642,0.097008543,background
NFYA,0.264554642,0.535832303,1.005732594,0.009298035,-0.225529987,0.668929436,0.909135839,0.014421366,buffering
LAS1L,0.134355881,0.696054333,0.063343475,0.811598427,0.074711466,0.821868639,0.002187758,0.993270206,background
ENPP4,-0.250221843,0.765318812,1.418766606,0.007561946,-1.372577241,0.122709569,1.492987436,0.005733182,buffering
ANKIB1,0.10084755,0.839103898,0.882027558,0.008142782,-0.222069098,0.77276816,0.869135179,0.009988873,buffering
CYP51A1,0.774539248,0.112278426,0.234401382,0.561578055,0.550681744,0.109522599,-0.347484236,0.225925264,translation
KRIT1,-0.314794362,0.270142594,0.579151318,0.114978473,-0.311074878,0.30182719,0.570844554,0.138377742,buffering
RAD52,0.311137495,0.4689306,0.261075314,0.459419299,0.435222852,0.301355031,0.381841355,0.247860348,background
BAD,0.746716135,0.111959533,-0.314273126,0.366430309,0.984370067,0.043254913,-0.657376319,0.059820314,translation
LAP3,-1.102575303,0.01650518,-0.228042208,0.525898308,-0.901103557,0.016541844,0.639649851,0.047953181,translation
MAD1L1,0.148123613,0.696771433,-0.382139953,0.460611839,0.332157558,0.171199031,-0.65181709,0.023543915,background
LASP1,0.490411606,0.12314839,0.195825614,0.549463579,0.377090374,0.164571489,-0.274964975,0.30357677,translation
TMEM176A,-0.959284694,0.111691452,-0.867637354,0.076023826,-0.039185886,0.923636275,-0.081435702,0.778791323,abundance
M6PR,0.482328104,0.140515984,0.453782377,0.11635437,0.262815495,0.436122548,0.227673881,0.413797619,abundance
ALS2,-0.328244456,0.417974197,0.22953574,0.445468174,-0.525533453,0.150762952,0.387075901,0.142502737,translation
CASP10,-0.246859302,0.529778689,-0.164687147,0.675760733,-0.14536912,0.670414672,0.042795275,0.902854648,background
CFLAR,-0.504455739,0.098969945,-0.668955437,0.020390526,-0.305585027,0.366621077,-0.527323797,0.072099494,abundance
TFPI,-1.793195297,0.026217645,-1.053779007,0.155858214,-0.918108493,0.032145589,0.829474649,0.038169328,translation
RBM5,-0.125958034,0.710945883,-0.181724792,0.646229499,-0.04389426,0.892646758,-0.026679327,0.939964743,background
SLC7A2,-2.760292332,0.000721377,-2.155577911,0.003700582,-0.955030371,0.011715295,0.966647903,0.007616649,translation
ARF5,0.677091689,0.04546447,-0.046249527,0.859409171,0.667099389,0.060727068,0.005695842,0.985553713,translation
POLDIP2,0.043230079,0.923362488,-0.056101346,0.897618677,0.084144679,0.786807764,-0.101828318,0.708129015,background
PLXND1,0.725954266,0.155444332,-0.058950987,0.884939747,0.796734229,0.023456259,-0.568652485,0.028947317,translation
AK2,-0.215886182,0.47469722,-0.206260032,0.486298749,-0.098011999,0.733020662,-0.005706022,0.985553713,background
FKBP4,0.330162858,0.333736326,0.32447376,0.312143542,0.119735114,0.711047427,0.057534539,0.851318516,background
KDM1A,0.358695034,0.278906985,0.113855284,0.64946348,0.360674678,0.289738822,0.116125139,0.639767048,background
RBM6,-0.203121683,0.674384671,-0.422247946,0.220080678,0.135918588,0.773763348,-0.318773682,0.277638686,background
RECQL,0.386543878,0.225570943,1.039939663,0.001670049,-0.152233864,0.72359611,0.922987007,0.004343635,abundance
VPS50,0.409751537,0.20932196,1.029413634,0.010568159,0.220132764,0.615570793,0.882272961,0.028634787,abundance
HSPB6,-0.946054916,0.321313562,-2.539606638,0.000179133,0.422054295,0.855730027,-2.438286568,0.002088803,buffering
NDUFAB1,0.108205906,0.830537755,0.499428486,0.244282533,-0.317550259,0.254139105,0.391533522,0.114073451,background
PDK4,-2.16234774,0.013546739,-1.321454687,0.049917727,-0.815288489,0.05000616,0.577310032,0.08980804,translation
SLC25A13,-0.296039111,0.595204402,0.547557648,0.224529744,-0.855891039,0.015300099,0.811161223,0.005929669,translation
ST7,0.016155851,0.967454928,-0.099863978,0.788091171,0.066354726,0.852140333,-0.11270019,0.720370853,background
CDC27,0.524750842,0.088432936,0.98972542,0.013807401,0.163007452,0.612167068,0.434746628,0.19466931,abundance
HCCS,0.168693637,0.735119497,0.219111041,0.396070376,0.060731686,0.923497121,0.203089633,0.413823504,background
DVL2,1.303052434,0.008681404,0.513833123,0.098801686,0.841116436,0.062374049,-0.078390847,0.82218327,translation
UPF1,0.089315891,0.830547116,-0.146862476,0.740011107,0.180654219,0.51873198,-0.252852785,0.349262404,background
SKAP2,-0.122149697,0.716934842,0.372206446,0.292466261,-0.214757895,0.506868111,0.443382847,0.19197492,background
SLC25A5,0.08248117,0.884347892,0.663219156,0.189189779,-0.328047963,0.439061659,0.593620432,0.125094398,background
DHX33,-0.188931635,0.729355955,0.132314787,0.654749288,-0.312102877,0.552149509,0.173930483,0.513223783,background
THSD7A,0.830894659,0.321131388,0.809470641,0.11321615,-0.040078203,0.966999256,0.441601713,0.277790088,background
LIG3,0.729814825,0.068033777,0.64338472,0.030414722,0.098861501,0.834765078,0.309584822,0.255575212,abundance
RPAP3,-0.149901469,0.660312106,0.743468603,0.032387278,-0.293451152,0.438184916,0.790288037,0.026500461,buffering
ACSM3,-2.470055358,0.00210599,-1.57702607,0.005199803,-0.788758119,0.133929356,0.129787228,0.785118475,translation
CIAPIN1,0.294747405,0.475336831,0.528349449,0.090931834,-0.02833115,0.95935711,0.419310329,0.148556925,background
SPPL2B,-0.22717303,0.605675967,-1.049951644,0.038040973,-0.051170485,0.934107253,-0.977770699,0.054919601,buffering
MSL3,-0.324682394,0.392349702,-0.089863034,0.706905344,-0.380011778,0.323989079,-0.118493208,0.5940619,background
CREBBP,-0.211323886,0.476203503,-0.448056421,0.181703187,-0.000751939,0.99768119,-0.159954263,0.536743597,background
PON1,-2.875895355,0.001393262,-1.721392443,0.00955656,-1.154739304,0.016541844,0.792778402,0.045609228,translation
GCFC2,0.440942853,0.460022241,0.559524933,0.10204783,-0.390179389,0.358857466,0.353170802,0.157728221,background
CROT,-0.470444279,0.317742875,0.242167627,0.734227347,-0.581641056,0.104943079,0.902432468,0.057888646,translation
ABCB4,-2.225085023,0.007691317,-1.389291385,0.045471536,-0.955772625,0.024800612,0.787763372,0.036820311,translation
KMT2E,0.207690932,0.622857117,0.356375022,0.179410552,-0.354850502,0.198693321,0.246695751,0.224785947,background
RHBDD2,0.490001688,0.142721698,-0.210015347,0.495026072,0.543213715,0.117817791,-0.347195174,0.260675496,translation
IBTK,-0.39173187,0.220556671,0.475253243,0.169781924,-0.654237818,0.035962524,0.908185919,0.007721805,translation
ZNF195,-0.025552028,0.974488806,-0.556558884,0.268345031,0.41782813,0.532478814,-0.544467483,0.198903512,buffering
MYCBP2,-0.458580995,0.175874406,-0.348578294,0.225140931,-0.192970898,0.538277034,-0.050339309,0.860310498,abundance
FBXL3,-0.54354358,0.166836609,0.212363923,0.494237343,-0.750179365,0.035064895,0.554289037,0.040854111,translation
ITGAL,-0.015843592,0.973253311,-0.590331724,0.133956243,0.427024643,0.177339161,-0.575846492,0.046448581,background
PDK2,-0.448355951,0.174929839,-0.590824848,0.088297858,-0.200637398,0.555235418,-0.272826069,0.408994376,abundance
ZFX,-0.151916995,0.725346034,0.183131467,0.461144557,-0.302791058,0.461154612,0.211093615,0.361711816,background
LAMP2,-0.347104826,0.234219623,0.601160284,0.06952094,-0.645794864,0.030575847,1.034822249,0.003525089,translation
GDE1,0.202463643,0.629898269,0.728710585,0.01848595,-0.319551516,0.480337222,0.664955285,0.023330388,buffering
C19orf60,0.060104314,0.925840386,-0.448338408,0.330547663,0.393079066,0.430249206,-0.484182834,0.195332945,background
MAP3K14,-0.191375533,0.854018857,-1.002529109,0.04577197,1.279799729,0.092893465,-0.922512989,0.017525219,buffering
AP2B1,-0.126821355,0.740755232,0.362352205,0.180188181,-0.437362908,0.183094148,0.421545559,0.086594526,buffering
CX3CL1,-0.448136485,0.408689448,-0.632819877,0.09783235,-0.167678242,0.807692774,-0.526058454,0.160382677,background
SPATA20,-0.161000588,0.69058516,-0.45094385,0.232334492,0.13132936,0.693916412,-0.303834536,0.283914662,background
RALA,0.39324168,0.430955368,0.835304022,0.008909986,-1.140543767,0.015825445,0.669274176,0.009526983,buffering
BAIAP2L1,0.398749115,0.46972417,0.623724004,0.140753594,-0.263947052,0.434682827,0.321825357,0.210393526,background
KDM7A,-0.554273107,0.422397151,-0.175254832,0.476248253,-0.192974593,0.804602136,-0.113404208,0.63047534,background
AGK,0.377231315,0.258684324,0.809052168,0.017105779,0.521522715,0.175508834,0.885384609,0.016695976,buffering
ALDH3B1,0.587551891,0.114726356,-0.283897558,0.523107943,0.642537157,0.099460157,-0.537351833,0.214455851,translation
PHTF2,0.368208479,0.524977509,0.454789302,0.139633223,-0.027702924,0.971794815,0.374804661,0.196688242,background
FARP2,-0.513891989,0.137546864,-0.461159097,0.150275532,-0.151794937,0.591806795,0.012311744,0.967918568,abundance
COX10,-0.361335289,0.424742019,-0.119046196,0.805899219,-0.292497318,0.44799109,0.167076063,0.666150842,background
PAF1,-0.321873453,0.306583845,-0.495308786,0.083892056,0.009310842,0.979902106,-0.270987488,0.269627278,background
VPS41,0.087684019,0.847099162,0.374312069,0.197040248,-0.337200189,0.318395495,0.32819522,0.162562643,background
ELAC2,-0.402382556,0.281533733,-0.231642134,0.448174101,-0.250733398,0.484288103,-0.039630037,0.90367664,background
ARSD,-0.750594193,0.116573836,-0.937266565,0.070255581,-0.046122819,0.893727914,-0.060697275,0.838375897,abundance
ADIPOR2,-0.070242626,0.863663013,0.129307289,0.681732896,-0.14862342,0.686073859,0.162743916,0.556106012,background
UPP2,-1.981426562,0.032492489,-1.461190302,0.034787843,-0.835880541,0.296609063,-0.389238605,0.50186635,abundance
CCDC124,1.100707881,0.045881498,-0.166511601,0.674656473,1.207470144,0.037619088,-0.570534092,0.137218916,translation
PAFAH1B1,-0.247877037,0.460508901,-0.078108695,0.742884032,-0.214700085,0.538144206,-0.054703618,0.821538769,background
KIAA0100,0.794725228,0.078711678,0.848918956,0.005363859,-0.212015391,0.728471627,0.65097154,0.01954881,abundance
GAS7,-0.43942853,0.617107808,-0.677467932,0.240060041,0.163614016,0.850989461,-0.459218651,0.31954085,background
TRAPPC6A,0.588957147,0.120718598,0.045214606,0.902976468,0.567670105,0.124433462,-0.236640758,0.485824162,translation
ST7L,0.37780525,0.25688,0.296468668,0.327832384,0.253604308,0.444076433,0.120769653,0.697137168,background
RHBDF1,0.382455533,0.679320953,-0.300920733,0.630662503,0.735068572,0.138297681,-0.556299018,0.103719014,translation
LUC7L,-0.002932133,0.995494109,-1.004647409,0.036261926,0.701043255,0.104058197,-1.002238964,0.011408173,background
BAIAP3,-0.743735487,0.34375986,-1.072315132,0.05388422,0.430195534,0.474139342,-0.6293645,0.095190369,background
TSR3,1.134376191,0.007691317,-0.091973558,0.823600686,1.147630119,0.016137219,-0.351129458,0.406693578,translation
PIGQ,-0.040986466,0.952733682,-0.604736846,0.239020544,0.378473239,0.462303539,-0.577380174,0.158084698,background
CRAMP1,0.550059213,0.482159014,-0.414072026,0.235322112,1.096162654,0.135798769,-0.551949904,0.085317525,translation
TEAD3,0.772638355,0.094128472,0.007845999,0.98243147,0.766504743,0.069541571,-0.401609858,0.221930491,translation
DNAJC11,-0.250367515,0.499486651,-0.549338817,0.073947079,-0.124951203,0.795519764,-0.503454152,0.103588589,buffering
FMO3,-2.916244963,0.008488632,-2.0753445,0.049034933,-1.25330332,0.017314206,1.216962841,0.019459924,translation
MYLIP,-0.665459899,0.428113266,-0.136697572,0.749199466,-0.541078883,0.524766778,0.007775564,0.986877145,background
PSMB1,-0.180124009,0.590496012,0.245102411,0.411435481,-0.365101364,0.167392656,0.404460702,0.089758426,background
JARID2,0.491411411,0.332544241,0.227499874,0.531615367,0.344537267,0.498401126,0.061836781,0.873394808,background
CDKL5,0.541028616,0.354542534,0.730793111,0.049766581,-0.376172778,0.45227249,0.475660499,0.095630875,background
NADK,-0.190048286,0.539266828,-0.621963944,0.05790737,0.026525363,0.945131098,-0.487550324,0.101660035,background
CYTH3,0.348698944,0.628075971,-0.172850025,0.682358835,0.574369772,0.242677052,-0.338142413,0.250947748,translation
SYPL1,0.349829643,0.247043549,1.381868,0.001399558,-0.166283748,0.651027685,1.102897348,0.005454687,abundance
CYB561,-0.200521485,0.794206372,-0.820855681,0.22124622,0.449494187,0.322193736,-0.637195319,0.114303534,background
SPAG9,-0.464623442,0.152427086,-0.125727428,0.642343559,-0.328714096,0.193808652,0.190543145,0.366379584,translation
AASS,-2.607125589,0.002750387,-1.551964175,0.020262599,-1.087462449,0.014191911,0.88119377,0.019986951,translation
SS18L2,0.020891627,0.978350887,0.808859164,0.020299875,-1.315951357,0.053471547,0.80220781,0.009988873,buffering
MPND,0.192801924,0.699635238,-0.858310634,0.034579367,-0.046638123,0.948560046,-0.815709196,0.043785544,buffering
MGST1,-1.144095259,0.178523888,-0.080076608,0.897002452,-1.037815196,0.016293018,0.707677347,0.017284125,translation
CRY1,-0.569978181,0.117548604,-0.689874237,0.036216236,-0.261648585,0.50632695,-0.45977475,0.137218916,abundance
NFIX,-0.319786316,0.546322525,-1.539274447,0.012152832,0.557448228,0.256073458,-1.266983083,0.011953326,background
ST3GAL1,-0.405823331,0.464882875,-1.009334536,0.054918371,0.503056936,0.098977645,-0.605466419,0.02690961,background
IL32,-0.913976882,0.245867593,-1.244455731,0.067558945,0.393179139,0.163079606,-0.406436026,0.0887514,abundance
PKD1,-0.310757835,0.673350501,-0.792932938,0.142950613,0.316077921,0.622395562,-0.613644921,0.155984339,background
MED24,0.684346892,0.042513311,0.279138768,0.235322112,0.51067892,0.124291104,0.120746108,0.639904818,translation
HEATR5B,-0.077256939,0.807619513,0.516668353,0.034672329,0.147175775,0.657636288,0.499906846,0.03548884,buffering
SEC62,-0.606011952,0.067705335,0.176477636,0.621547828,-0.691833023,0.033933859,0.754095086,0.03326133,translation
RPS20,0.862581915,0.1434187,1.156435102,0.012731428,0.895349989,0.244748444,1.169794186,0.019986951,abundance
CSDE1,-0.453353157,0.152334158,0.69522669,0.015438697,-0.785920266,0.05686516,0.84335523,0.007885232,translation
UBE3C,0.524103916,0.101602783,0.537141233,0.054852978,0.084248704,0.796333842,0.167286794,0.486459266,abundance
REV3L,-0.551336121,0.149999738,-0.056537596,0.8619963,-0.546701453,0.175556458,-0.029144148,0.937359024,translation
MASP2,-1.66856413,0.051015103,-1.72262367,0.02200306,0.060336101,0.905958158,-0.25627794,0.444202649,abundance
IYD,-2.554894233,0.004242091,-2.642518886,0.012350641,-1.0841307,0.089981772,0.311008409,0.714803738,abundance
FAM76A,0.116810176,0.801562152,-0.453932371,0.170777734,0.470081567,0.228733812,-0.515129418,0.079073367,background
POMT2,0.536056138,0.238247992,-0.203209834,0.527629941,0.652475019,0.158083816,-0.347946939,0.255875774,translation
VTA1,-0.116205055,0.733965717,0.832947285,0.034404763,-0.406416536,0.207050074,0.935721505,0.015061406,background
MLXIPL,-0.081319983,0.878681226,-1.350317369,0.002572544,0.982349295,0.073001208,-1.309855229,0.002794338,buffering
BAZ1B,-0.070825423,0.816352312,0.305375319,0.288026623,-0.174306887,0.521999709,0.360488925,0.173421196,background
RANBP9,0.342202908,0.278916202,0.543909374,0.043768076,0.011419656,0.979902106,0.40232506,0.107760779,background
SPRTN,0.75457122,0.073991501,0.929075804,0.013259855,0.722413083,0.151219723,0.909150362,0.024129441,abundance
METTL13,0.699014164,0.072858488,0.783951928,0.007483419,-0.297953615,0.461273982,0.517426987,0.03965158,abundance
DYRK4,0.08709528,0.864313844,0.204379674,0.656597065,-0.006902564,0.989303799,0.154491233,0.715222068,background
ZNF207,0.686450033,0.024781356,0.503095546,0.171564781,0.596644046,0.052156696,-0.074887754,0.901354035,abundance
UQCRC1,-0.198520312,0.633247389,0.036447631,0.928945634,-0.227440864,0.41551787,0.225643403,0.365342869,background
CD9,0.254850492,0.676739805,0.500796824,0.234649724,-0.3154412,0.359054628,0.321477485,0.210140509,background
NCAPD2,1.684050711,0.011426043,0.546129246,0.239054974,1.232676733,0.032346429,-0.506038606,0.252844856,translation
NISCH,0.196614357,0.633799872,-0.333976307,0.342864108,0.474902949,0.111983594,-0.503248361,0.055977977,background
STAB1,-1.514479848,0.007401877,-2.2639404,0.000505594,0.487618312,0.184048355,-0.79331517,0.016704438,abundance
CD4,-1.644209761,0.001966225,-2.041007117,0.000173566,-0.143164483,0.825915722,-1.172960083,0.012502224,abundance
HFE,0.232027983,0.586790124,-0.172459878,0.723374015,0.338412783,0.250960923,-0.43898811,0.148151836,background
SCMH1,-0.48338357,0.276158151,-0.038599786,0.929730659,-0.455976666,0.207050074,0.316438322,0.325873993,translation
FYN,-1.332895484,0.002029325,-1.203381807,0.00318822,-0.945901261,0.047660157,-0.620113746,0.188487529,abundance
HIVEP2,0.079069043,0.899136424,-0.179662326,0.617332951,0.326868999,0.335721036,-0.223837717,0.339921662,background
TCEB3,-0.636426494,0.027074343,-0.333417863,0.221693815,-0.571872782,0.051437886,-0.030796686,0.936047246,translation
LYPLA2,0.482683173,0.299850322,-0.166155702,0.657840408,0.489689862,0.326602899,-0.179794084,0.642671675,background
CLCN6,0.377744791,0.386811628,-0.088694236,0.811280029,0.45402156,0.201136854,-0.319740041,0.254028325,translation
MRC2,-1.217597726,0.154451934,-2.111029801,0.013340322,0.803652531,0.073001208,-0.964089746,0.011666175,abundance
TSPAN9,-0.465068747,0.177907119,-1.066950707,0.008059547,0.193817979,0.579585144,-0.63916736,0.036307563,abundance
APBA3,0.400255306,0.414014202,-0.377323074,0.158485128,0.407667359,0.472260835,-0.37895674,0.15609816,buffering
MKS1,0.757857729,0.03083041,-0.383580268,0.289944707,0.681392961,0.06159325,-0.058047767,0.9023558,translation
ABHD5,-0.460764839,0.391330553,-0.689718338,0.098243164,0.024128982,0.971501046,-0.46666186,0.206777938,background
MBTD1,-0.235578675,0.632138009,0.737144195,0.008355227,0.191616122,0.799693533,0.719976087,0.009988873,buffering
UTP18,0.598250828,0.078711678,0.636392269,0.030280034,0.451487617,0.244722528,0.53230507,0.084471806,abundance
RNF216,0.350147717,0.206125982,-0.020099223,0.953002346,0.350354596,0.200856644,-0.031854429,0.936529154,translation
TTC19,-0.643495946,0.20932196,-0.287727467,0.429894288,-0.364560582,0.398407792,0.045367978,0.898068081,background
PTBP1,0.331007696,0.256005383,-0.116897436,0.652085485,0.416129381,0.122443271,-0.311912636,0.171658808,translation
SYT7,-1.486591641,0.03776946,-1.887760308,0.006458377,0.027399447,0.972261282,-0.765912236,0.105976084,abundance
LARS2,-0.228523874,0.484694186,-0.040589895,0.907692021,-0.215445244,0.496762961,0.071752539,0.834966896,background
PIK3C2A,-0.223798767,0.447086123,0.519236778,0.140279397,-0.390556797,0.158772087,0.759409222,0.027685851,background
PLAUR,-0.663072035,0.355139801,-1.2599606,0.008967664,0.676316546,0.332115432,-1.006825106,0.014537768,buffering
WIZ,0.738963994,0.12577005,-0.60860809,0.097793035,0.950649077,0.094176248,-0.772585355,0.052745243,translation
RABGAP1,0.340103905,0.271342957,0.413728488,0.176018964,0.067851934,0.819982855,0.065405822,0.802848907,background
DCN,-3.366218525,0.006268202,-3.37835304,0.001752728,0.008244902,0.994092792,-0.806504218,0.200251392,abundance
QPCTL,0.505280856,0.190436195,-0.032533171,0.931914677,0.524846918,0.1335991,-0.361022629,0.259006052,translation
PPP5C,-0.105992148,0.747734433,-0.064601262,0.869496872,-0.088542527,0.790133091,0.014082413,0.972543295,background
CEP68,1.626194643,0.030664797,-0.885326058,0.055214738,0.910104601,0.196714503,-0.293581634,0.535520482,background
MAP4K3,0.44259598,0.107448779,0.828160048,0.020759054,0.155713839,0.5622594,0.200745011,0.478565976,abundance
TYROBP,-0.660131959,0.185937359,-1.232288348,0.001886571,0.773991812,0.201466204,-0.976507419,0.005391748,abundance
ERCC1,0.411202626,0.221018205,-0.149825155,0.668462602,0.489884945,0.113828108,-0.46688738,0.120111133,translation
MBTPS2,0.290979976,0.389556078,0.5326581,0.229497796,0.052653007,0.871614528,0.106379546,0.753729903,background
EXTL3,0.645106308,0.051015103,-0.145639923,0.676515328,0.658190564,0.059387276,-0.254911061,0.483107706,translation
NR1H4,-1.128078675,0.034633704,-0.072487716,0.865329703,-1.055876685,0.016541844,0.685760335,0.034646589,translation
ELOVL5,0.325241548,0.427756351,1.27711586,0.007553715,-0.494166915,0.18456846,0.980850176,0.00940563,background
ALOX5,-0.881469099,0.2891145,-1.543048704,0.056100405,0.396615378,0.472774093,-0.736599464,0.103682307,background
CALCOCO1,-0.335605353,0.302749736,-0.520205737,0.159816066,-0.090416058,0.782321293,-0.163040534,0.604804791,background
UBR7,0.188535761,0.596660541,0.447074466,0.130714476,0.015403916,0.974626217,0.382173509,0.175808675,background
MAP4K5,0.434731204,0.477520096,0.612293039,0.06009504,0.583864714,0.454551881,0.637345805,0.055624661,background
EHD3,-1.741308088,0.006292419,-2.48634317,0.000553133,0.191223301,0.742511936,-0.99949166,0.020215134,abundance
PSMC4,0.389416839,0.176152771,0.612931047,0.035770667,-0.0084408,0.979902106,0.235574381,0.316113624,abundance
MAN2B2,-0.162032006,0.661101814,-0.411921746,0.230825616,0.100307281,0.763630065,-0.267240224,0.317293808,background
SLC25A39,1.313360768,0.02074125,0.683591236,0.070947469,0.783269957,0.139143105,0.114009829,0.791667142,translation
MVP,0.288128102,0.505438761,-0.093884428,0.867558834,0.34481394,0.217788216,-0.469022854,0.115670073,translation
NUB1,0.229214848,0.498827425,0.231352799,0.475182143,0.063177245,0.834765078,0.00388125,0.988764512,background
PGM3,-0.516317487,0.195584552,0.527038153,0.134199174,-0.954771635,0.016541844,0.938063411,0.006141257,translation
RWDD2A,-0.177787149,0.805963557,-0.051237343,0.916334333,-0.175837624,0.834811693,-0.047835212,0.92987002,background
CLK1,-1.108178226,0.008700222,-0.444407563,0.12498723,-0.843022426,0.045683052,-0.019983184,0.960577324,translation
POLR3B,-0.545997372,0.060811793,0.526231735,0.035422193,-0.859477256,0.015300099,0.762016658,0.007385495,translation
ANGEL1,0.24664447,0.698783299,-0.133756894,0.739559738,0.415088365,0.310210506,-0.265777889,0.32123655,background
RNF14,0.285157576,0.388405195,0.560556691,0.068717583,-0.091596941,0.786575762,0.345543558,0.173056895,background
DNASE1L1,0.447904119,0.454593059,-0.152137038,0.654749288,0.434392307,0.511264357,-0.141225583,0.687435368,background
HEBP1,-0.712655695,0.063662384,-0.633558156,0.047621514,-0.053144654,0.860264895,-0.05035516,0.839187588,abundance
TACC3,1.911199138,0.006332835,1.066845019,0.062790524,1.106466223,0.043453227,-0.516656557,0.285603476,translation
UFL1,-0.43974548,0.17575341,0.724964305,0.04577197,-0.75167958,0.044514307,1.088122307,0.007552811,translation
POLA2,0.88992493,0.051654333,0.721111395,0.017287752,0.496056809,0.311452357,0.573347216,0.055106482,abundance
ZC3H3,1.002061318,0.075544437,0.243045692,0.45645917,0.896747009,0.134774319,0.1037957,0.785118475,translation
CAPN1,0.04376785,0.908513305,-0.134581669,0.705624347,0.132294107,0.615024788,-0.183935615,0.438981261,background
MDH1,-0.071142064,0.860897482,0.722399661,0.035944333,-0.678315038,0.040174478,0.78446541,0.007552811,background
SLC30A9,-0.017381162,0.962494307,0.614762155,0.028336056,-0.486845683,0.1335991,0.624085516,0.017875002,background
MTMR11,2.12849534,0.01985147,0.937083341,0.132641709,1.648450784,0.075727746,0.203520165,0.781687406,translation
COX15,0.199052908,0.604406033,0.763829988,0.016679695,-0.530150074,0.136341852,0.643587877,0.017468237,background
CCDC88C,0.156536539,0.867826924,-0.962994844,0.192643587,0.939578484,0.128127799,-1.087477627,0.035847833,background
YAF2,-0.451394393,0.207874865,-0.603615468,0.07630275,-0.15042623,0.711855824,-0.341647571,0.278903069,abundance
ZMYND11,-0.093786133,0.794928469,0.427240052,0.12987818,-0.428265544,0.161374942,0.488720727,0.050672214,background
WAS,-1.187911394,0.025312242,-1.469188635,0.005464262,-0.177398627,0.756764915,-0.617378116,0.132346229,abundance
BID,0.648924532,0.143208992,0.66467322,0.068611522,0.06669182,0.884223348,0.237588474,0.404730499,abundance
NPC1L1,-1.078182593,0.35114414,-1.526148912,0.06286466,0.800412641,0.148970182,-0.764733713,0.043332046,background
XYLT2,-0.030402991,0.960963034,-0.351806204,0.299537374,0.241530538,0.664979981,-0.342074169,0.270008449,background
NUDCD3,0.303807769,0.313529747,-0.055269912,0.828847416,0.319516005,0.286864092,-0.095300347,0.694456163,background
CHDH,-0.602021757,0.150176732,-0.4445018,0.218437601,-0.230754574,0.490535999,0.019962568,0.952607931,abundance
GLT8D1,-0.1402618,0.815598787,0.459696796,0.325544179,-0.589431048,0.063945438,0.584988118,0.030470706,background
ATP2C1,0.359766798,0.283156064,0.892665796,0.003728796,-0.03535736,0.947596741,0.819193365,0.007721805,buffering
RALBP1,0.548387061,0.201274853,0.565009928,0.090338416,-0.010003135,0.983785578,0.222474913,0.396651217,abundance
RUFY3,-0.564239949,0.163056421,-0.396208877,0.19253312,-0.3259366,0.430624869,-0.199215461,0.503443461,abundance
WWTR1,-0.054447979,0.940739192,-0.071553105,0.867127124,0.038423368,0.947121093,-0.04470177,0.88922027,background
AGPS,0.37673928,0.251149648,1.112014101,0.005978771,0.498631809,0.222104268,1.18294997,0.008282771,buffering
CXorf56,0.520565488,0.167454002,0.17140434,0.721321729,0.514360997,0.194987288,0.127558631,0.819997827,translation
TTC27,0.524558168,0.089633644,0.603733452,0.052332298,0.433356402,0.183094148,0.478737671,0.14775391,abundance
PHLDB1,-0.181168481,0.826246713,-1.334611171,0.071398154,0.880373726,0.092714221,-1.162368629,0.013851267,background
MARCO,-4.6690286,0.000229781,-5.610569309,4.26E-05,0.079000941,0.9528275,-1.745005259,0.038169328,abundance
PRDM11,-0.829413456,0.125408701,-1.083809664,0.04577197,-0.519681869,0.429127191,-0.797194235,0.148941926,abundance
SNAI2,0.284703171,0.683719871,0.222657674,0.656573876,0.067692998,0.909173725,0.050145478,0.900352415,background
CD74,-0.234179935,0.628213253,-0.58556272,0.087220381,0.463479036,0.135634824,-0.42707188,0.070661453,background
HGF,-3.589756214,0.000277725,-3.104519301,0.000611723,-1.162737384,0.073134244,0.356282072,0.594330749,translation
ZRANB1,-0.801113352,0.031127288,-0.120187172,0.71247082,-0.738745327,0.043453227,0.308347185,0.301409117,translation
NCDN,0.267441783,0.527316501,-0.307687656,0.448591132,0.404085009,0.303038784,-0.462828998,0.20978884,background
ZFP64,0.278514216,0.497227915,0.156693282,0.569139185,0.319315505,0.453515355,0.182699823,0.492557983,background
MNAT1,-0.171662973,0.642713456,0.307469626,0.435738116,-0.288967409,0.385062633,0.437684513,0.212944644,background
SAMD4A,-1.207593704,0.025562298,-1.043543571,0.005116276,-0.810249236,0.245456481,-0.880834564,0.024274387,abundance
MRE11A,0.573068674,0.12571802,0.52748768,0.107218961,0.407750938,0.304349356,0.358522724,0.293145952,abundance
